,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
0,ardha kapotasana,Internal organs have better toning improving their functions,it gives room for better blood flow and energy stimulating and improving the functioning of the reproductive organs,internal organs better toning improving functions,gives room better blood flow energy stimulating improving functioning reproductive organs,0
1,padmasana,"This posture applies pressure to the lower spine, which has a relaxing effect on the nervous system. ","Stabilizes the pelvis and hips, Increases breath capacity, Elongates the spine from the sacrum to the base of the skull",posture applies pressure lower spine relaxing effect nervous system,stabilizes pelvis hips increases breath capacity elongates spine sacrum base skull,1
2,ananda madirasana,Strengthens the back and leg muscles.,Improves blood circulation in the body.,strengthens back leg muscles,improves blood circulation body,2
3,shashankasana,This asana relaxes the mind and relieves depression.,It tones the pelvic muscles and relieves sciatic pain.,asana relaxes mind relieves depression,tones pelvic muscles relieves sciatic pain,3
4,ardha matsyendrasana,useful for slipped disk.,Helps in diabetes,useful slipped disk,helps diabetes,4
5,prasarita padottanasana,The Prasarita Padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.,"Since there is a lot stretching associated with this yoga exercise, the wide-legged forward bend yoga posture will successfully reduce lower back pain.",prasarita padottanasana also harmonizes abdominal muscles also relieves headaches caused due excessive stress,since lot stretching associated yoga exercise widelegged forward bend yoga posture successfully reduce lower back pain,5
6,ushtrasana,"Camel Pose stretches the anterior body (the chest, abdomen, and quadriceps, and the psoas muscles).","We flex spine in the opposite direction by doing a backbend, and this toning enhances body posture.",camel pose stretches anterior body chest abdomen quadriceps psoas muscles,flex spine opposite direction backbend toning enhances body posture,6
7,adho mukha svanasana,It advances the blood flow to the head.,it is said that this pose is promising for hair growth and preventing hair fall.,advances blood flow head,said pose promising hair growth preventing hair fall,7
8,tadasana,can help to improve balance and stability by encouraging proper weight distribution through the feet.,"Tadasana stretches the rectus abdomini muscles and the intestines, and is useful during the first six months of pregnancy to keep the abdominal muscles and nerves toned.",help improve balance stability encouraging proper weight distribution feet,tadasana stretches rectus abdomini muscles intestines useful first six months pregnancy keep abdominal muscles nerves toned,8
9,ushtrasana,Improves digestion.,Camel Pose improves spinal mobility,improves digestion,camel pose improves spinal mobility,6
10,bharadvajasana,"can help to stretch and open up the hips, which can be beneficial for those with tight hips or hip pain.","Bharadvajasana can stimulate the internal organs, including the liver, kidneys, and pancreas, which can be beneficial for overall health and wellbeing.",help stretch open hips beneficial tight hips hip pain,bharadvajasana stimulate internal organs including liver kidneys pancreas beneficial overall health wellbeing,9
11,gomukhasana,It stimulates the kidneys and can help those suffering from diabetes.,"can help to stretch and open up the hips and thighs, which can be beneficial for those with tightness or discomfort in these areas.",stimulates kidneys help suffering diabetes,help stretch open hips thighs beneficial tightness discomfort areas,10
12,bhujangasana,Improves posture,can help to strengthen the muscles of the back and improve overall back health.,improves posture,help strengthen muscles back improve overall back health,11
13,bharadvajasana,"Bharadvajasana can stimulate the internal organs, including the liver, kidneys, and pancreas, which can be beneficial for overall health and wellbeing.",Strengthens the oblique muscles,bharadvajasana stimulate internal organs including liver kidneys pancreas beneficial overall health wellbeing,strengthens oblique muscles,9
14,vajrasana,"It reduces the blood flow to the genitals and massages the nerve fibres which feed them, making it useful in dilated veins of the testicles and hydrocele in men.",Improves Digestion,reduces blood flow genitals massages nerve fibres feed making useful dilated veins testicles hydrocele men,improves digestion,12
15,bhujangasana,helps diabetes.,"can help to stretch and open up the chest and lungs, which can be beneficial for those with respiratory issues",helps diabetes,help stretch open chest lungs beneficial respiratory issues,11
16,sarvangasana,Flexibility of the neck ertebrae is improved and the nerves passing through the neck to the brain are toned. Circulation is increased in this area,Flexibility of the neck vertebrae is improved and the nerves passing through the neck to the brain are toned.,flexibility neck ertebrae improved nerves passing neck brain toned circulation increased area,flexibility neck vertebrae improved nerves passing neck brain toned,13
